Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Duration of captives' crossing (in days),Captain's name
1830,944,Herculina,"Africa, port unspecified",Havana,284,270,,"Torralvo, F<br/> Casa, Francisco de la"
1830,945,Aerostatica,"Africa, port unspecified",Santiago de Cuba,284,270,,"Aldecoa, M<br/> Maury, Jose"
1830,946,Marinerito,São Tomé,Havana,588,560,,"Tobares, J"
1830,947,Aguila,"Africa, port unspecified","Cuba, port unspecified",490,444,,"Carbo, M"
1830,948,Prueba,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Martinez, J"
1830,949,Primera,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Diaz, C<br/> Perez, Gabriel"
1830,950,Planeta,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Manegat, P<br/> Mancjas, Pedro"
1830,951,Segun El Tiempo,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Escardo, Jose<br/> Casas, Jozé Cando y"
1830,952,Marinero,"Africa, port unspecified","Cuba, port unspecified",490,444,,"Isquierdo, M"
1830,953,Potosi,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Zavala, J B"
1830,954,Tentativa,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Aurteneche, J M"
1830,955,Segunda Gallega,"Africa, port unspecified",Havana,284,270,,"Gonzales, J<br/> Pequeño, Juan Jose"
1830,956,Rapido,"Africa, port unspecified","Cuba, port unspecified",490,444,,"Cortina, J A"
1830,957,Manuelita,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Vardier, D"
1830,958,Gallega,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Cabieses, F"
1830,959,S Rosa,"Africa, port unspecified",Matanzas,333,300,,"Ricoma, V"
1830,960,Santiago,River Brass,"Cuba, port unspecified",144,105,,"Rivet, J"
1830,961,Catalana,São Tomé,"Cuba, port unspecified",411,369,,"Ricoma, Jaime"
1830,962,Andromaca,"Africa, port unspecified","Cuba, port unspecified",411,369,,"Villavaso, Jose Lucas"
1830,963,Emilio (a) Caesar,New Calabar,"Cuba, port unspecified",210,190,,"Lescaya, Fernando"
1830,964,Amistad Habanera,São Tomé,Havana,284,270,,"Arrarte, Juan Bautista"
1830,965,Asuncion,São Tomé,Havana,284,270,,"Aspeitia, Francisco"
1830,966,Iberia,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Solan, A<br/> Mancebo, Antonio"
1830,967,Urraca,"Africa, port unspecified",Trinidad de Cuba,284,270,,"Casas, L<br/> Vega, Jozé Fernando de la"
1830,968,Indagadora,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Rodriguez, J J"
1830,969,Negrito,"Africa, port unspecified","Cuba, port unspecified",490,444,,"Malbar, A"
1830,970,Barbarita,São Tomé,Havana,284,270,,"Prats, Gaspar"
1830,971,Fenix (a) Phoenix,"Africa, port unspecified",New Orleans,95,82,,"Torre, Francisco de la<br/> Torre, Pablo de la"
1830,972,Ligera,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Zavala, J R"
1830,973,Vengador,"Africa, port unspecified","Cuba, port unspecified",662,600,,"Capera, A"
1830,974,Marinerito,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Aguilleiro, R<br/> Pulles, Antonio"
1830,975,Segunda Gallega,"Africa, port unspecified","Cuba, port unspecified",307,277,,"Manzana, S"
1830,1033,Eclipse,Benguela,Rio de Janeiro,254,232,31,"Vieira, Francisco Manoel<br/> Silva, J J da"
1830,1034,Constante,Congo River,Rio de Janeiro,399,398,27,"Melo, Joao Jose de Azevedo e"
1830,1036,D Manoel de Portugal,Quilimane,Rio de Janeiro,505,486,47,"Sales, Joaquim de"
1830,1037,Vulcano,Quilimane,Rio de Janeiro,634,620,47,"Chaves, José de Freitas"
1830,1038,Luís de Camões,Benguela,Rio de Janeiro,670,643,30,"Lemos, Domingos da Fonseca"
1830,1039,Seis de Fevereiro,Quilimane,Rio de Janeiro,480,463,72,"Mendonça, Francisco de Assis"
