Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1835,1355,Maria,Bonny,"Cuba, port unspecified",368,341,27,,24
1835,1356,Manuelita,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1357,Mariposa,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1358,Luisita,"Gold Coast, port unspecified",Havana,284,270,,,
1835,1359,Andaluz (a) Terrible,São Tomé,Havana,411,369,,,
1835,1360,San Pedro (Marinero),São Tomé,Havana,411,369,,,
1835,1361,Julita,"Whydah, Ouidah","Cuba, port unspecified",353,340,13,,24
1835,1362,Llobregat,"Lagos, Onim",Havana,411,369,,184,
1835,1363,Tragamillas,Gallinhas,"Cuba, port unspecified",490,444,,,
1835,1364,Firmeza,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1835,1365,Cazador,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1835,1366,General Laborde,Cabinda,Havana,411,369,,,
1835,1367,Joven Reina,Congo River,Havana,262,255,7,,17
1835,1368,Chubasco,Rio Pongo,Havana,275,253,22,,17
1835,1369,Belencita,"Africa, port unspecified",Havana,411,369,,,
1835,1370,S Pedro (a) Vengador,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1835,1371,Maria Segunda,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1835,1372,Marte,Loango,Havana,600,403,197,,55
1835,1373,Socorro,Mozambique,Matanzas,808,660,,,
1835,1374,Portento,Loango,Havana,411,369,,,
1835,1375,Bella Ines,São Tomé,"Puerto Rico, port unspecified",307,277,,,
1835,1376,Francisca,Cabinda,Havana,284,270,,,
1835,1377,Isabel,Cabinda,Havana,411,369,,,
1835,1378,Hércules,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1835,1379,Antonica,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1835,1380,Alerta,Cabinda,Havana,690,563,,55,
1835,1381,Empresa,Gallinhas,Havana,490,444,,,
